Experience table taken directly from the game
can be found at http://faqs.ign.com/articles/386/386613p1.html

Lv 01-0           Lv 26-73,500       Lv 51-571,298        Lv 76-1,296,285 
Lv 02-28          Lv 27-82,628       Lv 52-600,297        Lv 77-1,325,285 
Lv 03-84          Lv 28-92,484       Lv 53-629,297        Lv 78-1,354,284 
Lv 04-196         Lv 29-103,096      Lv 54-658,296        Lv 79-1,383,284 
Lv 05-392         Lv 30-114,492      Lv 55-687,296        Lv 80-1,412,283 
Lv 06-700         Lv 31-126,700      Lv 56-716,295        Lv 81-1,441,283 
Lv 07-1,148       Lv 32-139,748      Lv 57-745,295        Lv 82-1,470,282 
Lv 08-1,764       Lv 33-153,664      Lv 58-774,294        Lv 83-1,499,282 
Lv 09-2,576       Lv 34-168,476      Lv 59-803,294        Lv 84-1,528,281 
Lv 10-3,612       Lv 35-184,212      Lv 60-832,293        Lv 85-1,557,281 
Lv 11-4,900       Lv 36-200,900      Lv 61-861,293        Lv 86-1,586,280 
Lv 12-6,468       Lv 37-218,568      Lv 62-890,292        Lv 87-1,615,280 
Lv 13-8,344       Lv 38-237,244      Lv 63-919,292        Lv 88-1,644,279 
Lv 14-10,556      Lv 39-256,956      Lv 64-948,291        Lv 89-1,673,279 
Lv 15-13,132      Lv 40-277,732      Lv 65-977,291        Lv 90-1,702,278 
Lv 16-16,100      Lv 41-299,600      Lv 66-1,006,290      Lv 91-1,731,278 
Lv 17-19,488      Lv 42-322,588      Lv 67-1,035,290      Lv 92-1,760,277 
Lv 18-23,324      Lv 43-346,724      Lv 68-1,064,289      Lv 93-1,789,277 
Lv 19-27,636      Lv 44-372,036      Lv 69-1,093,289      Lv 94-1,818,276 
Lv 20-32,452      Lv 45-398,552      Lv 70-1,122,288      Lv 95-1,847,276 
Lv 21-37,800      Lv 46-426,300      Lv 71-1,151,288      Lv 96-1,876,275 
Lv 22-43,708      Lv 47-455,300      Lv 72-1,180,287      Lv 97-1,905,275 
Lv 23-50,204      Lv 48-484,299      Lv 73-1,209,287      Lv 98-1,934,274 
Lv 24-57,316      Lv 49-513,299      Lv 74-1,238,286      Lv 99-1,963,274 
Lv 25-65,072      Lv 50-542,298      Lv 75-1,267,286        

